train_id,station_order,station_code,station_name,delay_arrival
22502,1,NTSK,NEW TINSUKIA JN ,13
22502,2,DBRG,DIBRUGARH ,21
22502,3,MRHT,MORANHAT ,33
22502,4,SRTN,SIBSAGAR TOWN ,29
22502,5,SLGR,SIMALUGURI JN ,27
22502,6,MXN,MARIANI JN ,28
22502,7,FKG,FURKATING JN ,18
22502,8,DMV,DIMAPUR ,43
22502,9,DPU,DIPHU ,45
22502,10,LMG,LUMDING JN ,36
22502,11,GHY,GUWAHATI ,22
22502,12,GLPT,GOALPARA TOWN ,62
22502,13,NBQ,NEW BONGAIGAON ,49
22502,14,NOQ,NEW ALIPURDAUR ,66
22502,15,NCB,NEW COOCH BEHAR ,76
22502,16,JPE,JALPAIGURI ROAD ,57
22502,17,NJP,NEW JALPAIGURI ,49
22502,18,KNE,KISHANGANJ ,75
22502,19,MLDT,MALDA TOWN ,43
22502,20,RPH,RAMPUR HAT ,53
22502,21,BHP,BOLPUR S NIKTN ,63
22502,22,DKAE,DANKUNI ,88
22502,23,KGP,KHARAGPUR JN ,89
22502,24,BLS,BALASORE ,90
22502,25,CTC,CUTTACK ,114
22502,26,BBS,BHUBANESWAR ,114
22502,27,KUR,KHURDA ROAD JN ,117
22502,28,BAM,BRAHMAPUR ,131
22502,29,VZM,VIZIANAGRAM JN ,124
22502,30,VSKP,VISHAKAPATNAM ,125
22502,31,RJY,RAJAMUNDRY ,158
22502,32,BZA,VIJAYAWADA JN ,175
22502,33,OGL,ONGOLE ,184
22502,34,NLR,NELLORE ,196
22502,35,PER,PERAMBUR ,210
22502,36,KPD,KATPADI JN ,206
22502,37,JTJ,JOLARPETTAI ,208
22502,38,KJM,KRISHNARAJAPURM ,209
22502,39,SMVB,SMVT BENGALURU ,168
14038,1,NDLS,NEW DELHI ,31
14038,2,CNB,KANPUR CENTRAL ,97
14038,3,PRYJ,PRAYAGRAJ JN ,124
14038,4,DDU,PT DEEN DAYAL UPADHYAY JN ,137
14038,5,PPTA,PATLIPUTRA ,165
14038,6,BJU,BARAUNI JN ,249
14038,7,KIR,KATIHAR JN ,198
14038,8,NJP,NEW JALPAIGURI ,215
14038,9,NBQ,NEW BONGAIGAON ,229
14038,10,GLPT,GOALPARA TOWN ,242
14038,11,GHY,GUWAHATI ,237
14038,12,LMG,LUMDING JN ,286
14038,13,NHLG,NEW HAFLONG ,269
14038,14,BPB,BADARPUR JN ,259
14038,15,SCL,SILCHAR ,181
15910,1,LGH,LALGARH JN ,11
15910,2,LKS,LUNKARANSAR ,18
15910,3,MHJ,MAHAJAN ,28
15910,4,SOG,SURATGARH JN ,21
15910,5,PGK,PILI BANGAN ,23
15910,6,HMH,HANUMANGARH JN ,23
15910,7,SGRA,SANGARIA ,27
15910,8,MBY,MANDI DABWALI ,31
15910,9,BTI,BHATINDA JN ,11
15910,10,MAUR,MAUR ,20
15910,11,MSZ,MANSA ,21
15910,12,BLZ,BUDHLADA ,22
15910,13,BRZ,BARETA ,24
15910,14,JHL,JAKHAL JN ,25
15910,15,TUN,TOHANA ,26
15910,16,NRW,NARWANA JN ,28
15910,17,JIND,JIND JN ,29
15910,18,ROK,ROHTAK JN ,30
15910,19,BGZ,BAHADURGARH ,29
15910,20,SSB,SHAKURBASTI ,26
15910,21,DKZ,DELHI KISHANGNJ ,31
15910,22,DLI,DELHI ,30
15910,23,GZB,GHAZIABAD ,29
15910,24,PKW,PILKHUA ,36
15910,25,HPU,HAPUR ,39
15910,26,AMRO,AMROHA ,48
15910,27,MB,MORADABAD ,52
15910,28,RMU,RAMPUR ,67
15910,29,BE,BAREILLY ,89
15910,30,SPN,SHAHJEHANPUR ,99
15910,31,HRI,HARDOI ,108
15910,32,BLM,BALAMU JN ,115
15910,33,LKO,LUCKNOW NR ,118
15910,34,BBK,BARABANKI JN ,103
15910,35,JLD,JARWAL ROAD ,112
15910,36,GD,GONDA JN ,108
15910,37,MUR,MANKAPUR JN ,114
15910,38,BST,BASTI ,117
15910,39,KLD,KHALILABAD ,119
15910,40,GKP,GORAKHPUR JN ,93
15910,41,DEOS,DEORIA SADAR ,99
15910,42,BTT,BHATNI JN ,100
15910,43,BHTR,BHATPAR RANI ,105
15910,44,SV,SIWAN JN ,88
15910,45,EKMA,EKMA ,88
15910,46,CPR,CHHAPRA ,77
15910,47,SEE,SONPUR JN ,78
15910,48,HJP,HAJIPUR JN ,80
15910,49,MFP,MUZAFFARPUR JN ,94
15910,50,SPJ,SAMASTIPUR JN ,100
15910,51,DSS,DALSINGH SARAI ,108
15910,52,BJU,BARAUNI JN ,101
15910,53,BGS,BEGU SARAI ,109
15910,54,KGG,KHAGARIA JN ,121
15910,55,MNE,MANSI JN ,124
15910,56,THB,THANA BIHPUR JN ,127
15910,57,NNA,NAUGACHIA ,132
15910,58,KIR,KATIHAR JN ,101
15910,59,AZR,AZAMNAGAR ROAD ,114
15910,60,BOE,BARSOI JN ,120
15910,61,DLK,DALKOLHA ,132
15910,62,KNE,KISHANGANJ ,138
15910,63,AUB,ALUABARI ROAD ,145
15910,64,NJP,NEW JALPAIGURI ,142
15910,65,JPE,JALPAIGURI ROAD ,120
15910,66,DQG,DHUPGURI ,123
15910,67,NCB,NEW COOCH BEHAR ,121
15910,68,NOQ,NEW ALIPURDAUR ,120
15910,69,NBQ,NEW BONGAIGAON ,108
15910,70,BPRD,BARPETA ROAD ,128
15910,71,RNY,RANGIYA JN ,147
15910,72,KYQ,KAMAKHYA ,142
15910,73,GHY,GUWAHATI ,160
15910,74,JID,JAGI ROAD ,177
15910,75,CPK,CHAPARMUKH JN ,183
15910,76,HJI,HOJAI ,187
15910,77,LMG,LUMDING JN ,176
15910,78,DPU,DIPHU ,182
15910,79,DMV,DIMAPUR ,189
15910,80,SZR,SARUPATHAR ,189
15910,81,FKG,FURKATING JN ,169
15910,82,MXN,MARIANI JN ,182
15910,83,SLGR,SIMALUGURI JN ,189
15910,84,BOJ,BHOJO ,182
15910,85,NTSK,NEW TINSUKIA JN ,189
15910,86,DBRG,DIBRUGARH ,167
22512,1,KYQ,KAMAKHYA ,6
22512,2,NBQ,NEW BONGAIGAON ,23
22512,3,APDJ,ALIPUR DUAR JN ,49
22512,4,HSA,HASIMARA ,44
22512,5,SGUJ,SILIGURI JN ,37
22512,6,NJP,NEW JALPAIGURI ,48
22512,7,MLDT,MALDA TOWN ,49
22512,8,PKR,PAKUR ,51
22512,9,RPH,RAMPUR HAT ,55
22512,10,BHP,BOLPUR S NIKTN ,60
22512,11,BWN,BARDDHAMAN JN ,58
22512,12,DKAE,DANKUNI ,72
22512,13,KGP,KHARAGPUR JN ,90
22512,14,TATA,TATANAGAR JN ,125
22512,15,CKP,CHAKRADHARPUR ,141
22512,16,ROU,ROURKELA ,165
22512,17,JSG,JHARSUGUDA JN ,179
22512,18,RIG,RAIGARH ,199
22512,19,KHS,KHARSIA ,143
22512,20,BSP,BILASPUR JN ,220
22512,21,R,RAIPUR JN ,242
22512,22,G,GONDIA JN ,279
22512,23,NGP,NAGPUR ,288
22512,24,AK,AKOLA JN ,272
22512,25,BSL,BHUSAVAL JN ,292
22512,26,MMR,MANMAD JN ,313
22512,27,KYN,KALYAN JN ,336
22512,28,TNA,THANE ,419
22512,29,LTT,LOKMANYATILAK T ,289
12424,1,NDLS,NEW DELHI ,5
12424,2,CNB,KANPUR CENTRAL ,21
12424,3,PRYJ,PRAYAGRAJ JN ,39
12424,4,DDU,PT DEEN DAYAL UPADHYAY JN ,33
12424,5,DNR,DANAPUR ,46
12424,6,PPTA,PATLIPUTRA ,36
12424,7,BJU,BARAUNI JN ,25
12424,8,NNA,NAUGACHIA ,34
12424,9,KIR,KATIHAR JN ,35
12424,10,KNE,KISHANGANJ ,55
12424,11,NJP,NEW JALPAIGURI ,46
12424,12,NCB,NEW COOCH BEHAR ,42
12424,13,KOJ,KOKRAJHAR ,56
12424,14,NBQ,NEW BONGAIGAON ,47
12424,15,GHY,GUWAHATI ,89
12424,16,CPK,CHAPARMUKH JN ,102
12424,17,LMG,LUMDING JN ,89
12424,18,DMV,DIMAPUR ,98
12424,19,MXN,MARIANI JN ,85
12424,20,NTSK,NEW TINSUKIA JN ,93
12424,21,DBRG,DIBRUGARH ,91
12424,22,DBRT,DIBRUGARH TOWN ,16
20501,1,AGTL,AGARTALA ,11
20501,2,ABSA,AMBASA ,23
20501,3,DMR,DHARMANAGAR ,18
20501,4,NKMG,NEW KARIMGANJ ,17
20501,5,BPB,BADARPUR JN ,23
20501,6,HJI,HOJAI ,22
20501,7,GHY,GUWAHATI ,25
20501,8,RNY,RANGIYA JN ,29
20501,9,BPRD,BARPETA ROAD ,43
20501,10,NJP,NEW JALPAIGURI ,47
20501,11,MLDT,MALDA TOWN ,44
20501,12,BGP,BHAGALPUR ,41
20501,13,JMP,JAMALPUR JN ,41
20501,14,PNBE,PATNA JN ,43
20501,15,KIR,KATIHAR JN ,55
20501,16,BJU,BARAUNI JN ,70
20501,17,PPTA,PATLIPUTRA ,57
20501,18,DDU,PT DEEN DAYAL UPADHYAY JN ,50
20501,19,CNB,KANPUR CENTRAL ,89
20501,20,ANVT,ANAND VIHAR TRM ,98
15946,1,DBRG,DIBRUGARH ,2
15946,2,NTSK,NEW TINSUKIA JN ,9
15946,3,SLGR,SIMALUGURI JN ,12
15946,4,MXN,MARIANI JN ,12
15946,5,FKG,FURKATING JN ,2
15946,6,DMV,DIMAPUR ,11
15946,7,DPU,DIPHU ,12
15946,8,LMG,LUMDING JN ,12
15946,9,HJI,HOJAI ,17
15946,10,CPK,CHAPARMUKH JN ,22
15946,11,GHY,GUWAHATI ,42
15946,12,KYQ,KAMAKHYA ,40
15946,13,RNY,RANGIYA JN ,43
15946,14,BPRD,BARPETA ROAD ,75
15946,15,BNGN,BONGAIGAON ,102
15946,16,NBQ,NEW BONGAIGAON ,60
15946,17,KOJ,KOKRAJHAR ,60
15946,18,NOQ,NEW ALIPURDAUR ,69
15946,19,NCB,NEW COOCH BEHAR ,72
15946,20,DQG,DHUPGURI ,74
15946,21,NJP,NEW JALPAIGURI ,45
15946,22,KNE,KISHANGANJ ,55
15946,23,BOE,BARSOI JN ,58
15946,24,KIR,KATIHAR JN ,28
15946,25,NNA,NAUGACHIA ,38
15946,26,THB,THANA BIHPUR JN ,39
15946,27,MNE,MANSI JN ,44
15946,28,KGG,KHAGARIA JN ,47
15946,29,BGS,BEGU SARAI ,66
15946,30,NBJU,NEW BARAUNI JN ,39
15946,31,MKA,MOKAMEH JN ,49
15946,32,BARH,BARH ,68
15946,33,BKP,BAKHTIYARPUR JN ,72
15946,34,PNC,PATNA SAHEB ,51
15946,35,PNBE,PATNA JN ,33
15946,36,DNR,DANAPUR ,36
15946,37,ARA,ARA ,44
15946,38,DURE,DUMRAON ,34
15946,39,BXR,BUXAR ,31
15946,40,DLN,DILDARNAGAR JN ,39
15946,41,DDU,PT DEEN DAYAL UPADHYAY JN ,29
15946,42,MZP,MIRZAPUR ,47
15946,43,PCOI,PRAYAGRAJ CHHEOKI ,82
15946,44,STA,SATNA ,114
15946,45,MYR,MAIHAR ,139
15946,46,KTE,KATNI ,130
15946,47,JBP,JABALPUR ,141
15946,48,PPI,PIPARIYA ,161
15946,49,ET,ITARSI JN ,142
15946,50,HD,HARDA ,173
15946,51,KNW,KHANDWA ,159
15946,52,BAU,BURHANPUR ,162
15946,53,BSL,BHUSAVAL JN ,163
15946,54,MMR,MANMAD JN ,177
15946,55,NK,NASIK ROAD ,176
15946,56,KYN,KALYAN JN ,184
15946,57,TNA,THANE ,159
15946,58,LTT,LOKMANYATILAK T ,160
12504,1,AGTL,AGARTALA ,60
12504,2,ABSA,AMBASA ,72
12504,3,DMR,DHARMANAGAR ,76
12504,4,NKMG,NEW KARIMGANJ ,77
12504,5,BPB,BADARPUR JN ,86
12504,6,NHLG,NEW HAFLONG ,92
12504,7,GHY,GUWAHATI ,87
12504,8,KYQ,KAMAKHYA ,97
12504,9,NBQ,NEW BONGAIGAON ,81
12504,10,NJP,NEW JALPAIGURI ,104
12504,11,KNE,KISHANGANJ ,121
12504,12,MLDT,MALDA TOWN ,117
12504,13,RPH,RAMPUR HAT ,152
12504,14,DKAE,DANKUNI ,165
12504,15,ADL,ANDUL ,168
12504,16,KGP,KHARAGPUR JN ,185
12504,17,BHC,BHADRAKH ,189
12504,18,CTC,CUTTACK ,224
12504,19,BBS,BHUBANESWAR ,240
12504,20,KUR,KHURDA ROAD JN ,256
12504,21,BAM,BRAHMAPUR ,288
12504,22,PSA,PALASA ,254
12504,23,CHE,SRIKAKULAM ROAD ,267
12504,24,VZM,VIZIANAGRAM JN ,277
12504,25,VSKP,VISHAKAPATNAM ,289
12504,26,DVD,DUVVADA ,286
12504,27,BZA,VIJAYAWADA JN ,345
12504,28,PER,PERAMBUR ,381
12504,29,KPD,KATPADI JN ,359
12504,30,WFD,WHITEFIELD ,371
12504,31,SMVB,SMVT BENGALURU ,342
12503,1,SMVB,SMVT BENGALURU ,166
12503,2,WFD,WHITEFIELD ,182
12503,3,KPD,KATPADI JN ,205
12503,4,PER,PERAMBUR ,209
12503,5,BZA,VIJAYAWADA JN ,247
12503,6,DVD,DUVVADA ,229
12503,7,VSKP,VISHAKAPATNAM ,237
12503,8,VZM,VIZIANAGRAM JN ,243
12503,9,CHE,SRIKAKULAM ROAD ,247
12503,10,PSA,PALASA ,243
12503,11,BAM,BRAHMAPUR ,259
12503,12,KUR,KHURDA ROAD JN ,285
12503,13,BBS,BHUBANESWAR ,289
12503,14,CTC,CUTTACK ,299
12503,15,BHC,BHADRAKH ,277
12503,16,KGP,KHARAGPUR JN ,314
12503,17,ADL,ANDUL ,329
12503,18,DKAE,DANKUNI ,331
12503,19,RPH,RAMPUR HAT ,393
12503,20,MLDT,MALDA TOWN ,402
12503,21,KNE,KISHANGANJ ,450
12503,22,NJP,NEW JALPAIGURI ,438
12503,23,NBQ,NEW BONGAIGAON ,456
12503,24,KYQ,KAMAKHYA ,472
12503,25,GHY,GUWAHATI ,497
12503,26,NHLG,NEW HAFLONG ,518
12503,27,BPB,BADARPUR JN ,506
12503,28,NKMG,NEW KARIMGANJ ,503
12503,29,DMR,DHARMANAGAR ,493
12503,30,ABSA,AMBASA ,492
12503,31,AGTL,AGARTALA ,457
15960,1,DBRG,DIBRUGARH ,9
15960,2,NTSK,NEW TINSUKIA JN ,12
15960,3,DJG,DULIAJAN ,16
15960,4,NHK,NAHARKATIYA ,26
15960,5,NAM,NAMRUP ,19
15960,6,BOJ,BHOJO ,28
15960,7,SLGR,SIMALUGURI JN ,35
15960,8,AGI,AMGURI ,25
15960,9,MXN,MARIANI JN ,29
15960,10,FKG,FURKATING JN ,14
15960,11,BXP,BARPATHAR ,27
15960,12,SZR,SARUPATHAR ,31
15960,13,DMV,DIMAPUR ,43
15960,14,DPU,DIPHU ,38
15960,15,LMG,LUMDING JN ,33
15960,16,LKA,LANKA ,29
15960,17,HJI,HOJAI ,31
15960,18,CPK,CHAPARMUKH JN ,36
15960,19,GHY,GUWAHATI ,37
15960,20,KYQ,KAMAKHYA ,38
15960,21,RNY,RANGIYA JN ,39
15960,22,NLV,NALBARI ,48
15960,23,TIHU,TIHU ,54
15960,24,PBL,PATHSALA ,62
15960,25,BPRD,BARPETA ROAD ,72
15960,26,SBE,SORBHOG JN ,72
15960,27,BNGN,BONGAIGAON ,69
15960,28,NBQ,NEW BONGAIGAON ,48
15960,29,KOJ,KOKRAJHAR ,52
15960,30,FKM,FAKIRAGRAM JN ,55
15960,31,KAMG,KAMAKHYAGURI ,68
15960,32,NOQ,NEW ALIPURDAUR ,69
15960,33,NCB,NEW COOCH BEHAR ,71
15960,34,FLK,FALAKATA ,74
15960,35,DQG,DHUPGURI ,70
15960,36,NMX,NEW MAYNAGURI ,71
15960,37,JPE,JALPAIGURI ROAD ,75
15960,38,NJP,NEW JALPAIGURI ,45
15960,39,AUB,ALUABARI ROAD ,56
15960,40,KNE,KISHANGANJ ,61
15960,41,HCR,HARISCHANDRPUR ,71
15960,42,SM,SAMSI ,60
15960,43,MLDT,MALDA TOWN ,39
15960,44,NFK,NEW FARAKKA JN ,42
15960,45,DGLE,DHULIAN GANGA ,42
15960,46,NILE,NIMTITA ,42
15960,47,JRLE,JANGIPUR ROAD ,45
15960,48,AZ,AZIMGANJ JN ,39
15960,49,KGLE,KHAGRAGHAT ROAD ,42
15960,50,SALE,SALAR ,47
15960,51,KWAE,KATWA ,39
15960,52,NDAE,NABADWIP DHAM ,40
15960,53,ABKA,AMBIKA KALNA ,42
15960,54,BDC,BANDEL JN ,40
15960,55,HWH,HOWRAH JN ,13
12508,1,SCL,SILCHAR ,18
12508,2,BPB,BADARPUR JN ,33
12508,3,NHLG,NEW HAFLONG ,29
12508,4,MBG,MAIBANG ,25
12508,5,LMG,LUMDING JN ,46
12508,6,HJI,HOJAI ,51
12508,7,GHY,GUWAHATI ,78
12508,8,KYQ,KAMAKHYA ,82
12508,9,RNY,RANGIYA JN ,106
12508,10,BPRD,BARPETA ROAD ,132
12508,11,BNGN,BONGAIGAON ,219
12508,12,NBQ,NEW BONGAIGAON ,95
12508,13,KOJ,KOKRAJHAR ,105
12508,14,NOQ,NEW ALIPURDAUR ,124
12508,15,NCB,NEW COOCH BEHAR ,132
12508,16,DQG,DHUPGURI ,137
12508,17,NJP,NEW JALPAIGURI ,109
12508,18,KNE,KISHANGANJ ,133
12508,19,MLDT,MALDA TOWN ,113
12508,20,PKR,PAKUR ,114
12508,21,RPH,RAMPUR HAT ,113
12508,22,BHP,BOLPUR S NIKTN ,129
12508,23,DKAE,DANKUNI ,168
12508,24,KGP,KHARAGPUR JN ,170
12508,25,BLS,BALASORE ,177
12508,26,BHC,BHADRAKH ,192
12508,27,JJKR,JAJPUR K ROAD ,200
12508,28,CTC,CUTTACK ,213
12508,29,BBS,BHUBANESWAR ,220
12508,30,KUR,KHURDA ROAD JN ,222
12508,31,BALU,BALUGAN ,241
12508,32,BAM,BRAHMAPUR ,243
12508,33,PSA,PALASA ,222
12508,34,CHE,SRIKAKULAM ROAD ,232
12508,35,VZM,VIZIANAGRAM JN ,248
12508,36,VSKP,VISHAKAPATNAM ,254
12508,37,RJY,RAJAMUNDRY ,284
12508,38,BZA,VIJAYAWADA JN ,291
12508,39,PER,PERAMBUR ,312
12508,40,AJJ,ARAKKONAM ,310
12508,41,KPD,KATPADI JN ,305
12508,42,JTJ,JOLARPETTAI ,302
12508,43,SA,SALEM JN ,310
12508,44,ED,ERODE JN ,309
12508,45,TUP,TIRUPPUR ,310
12508,46,CBE,COIMBATORE JN ,300
12508,47,PGT,PALAKKAD JN ,309
12508,48,TCR,THRISUR ,316
12508,49,AWY,ALUVA ,309
12508,50,ERN,ERNAKULAM TOWN ,315
12508,51,KTYM,KOTTAYAM ,316
12508,52,TRVL,TIRUVALLA ,314
12508,53,CNGR,CHENGANNUR ,316
12508,54,MVLK,MAVELIKARA ,318
12508,55,KYJ,KAYANKULAM JN ,317
12508,56,QLN,KOLLAM JN ,317
12508,57,TVC,TRIVANDRUM CNTL ,292
12509,1,SMVB,SMVT BENGALURU ,9
12509,2,KJM,KRISHNARAJAPURM ,19
12509,3,BWT,BANGARAPET ,28
12509,4,JTJ,JOLARPETTAI ,22
12509,5,KPD,KATPADI JN ,26
12509,6,AJJ,ARAKKONAM ,32
12509,7,PER,PERAMBUR ,37
12509,8,OGL,ONGOLE ,40
12509,9,BZA,VIJAYAWADA JN ,47
12509,10,RJY,RAJAMUNDRY ,90
12509,11,VSKP,VISHAKAPATNAM ,93
12509,12,VZM,VIZIANAGRAM JN ,105
12509,13,CHE,SRIKAKULAM ROAD ,110
12509,14,PSA,PALASA ,104
12509,15,BAM,BRAHMAPUR ,104
12509,16,BALU,BALUGAN ,115
12509,17,KUR,KHURDA ROAD JN ,126
12509,18,BBS,BHUBANESWAR ,130
12509,19,CTC,CUTTACK ,131
12509,20,JJKR,JAJPUR K ROAD ,149
12509,21,BHC,BHADRAKH ,126
12509,22,BLS,BALASORE ,139
12509,23,KGP,KHARAGPUR JN ,148
12509,24,DKAE,DANKUNI ,155
12509,25,BHP,BOLPUR S NIKTN ,189
12509,26,RPH,RAMPUR HAT ,201
12509,27,NFK,NEW FARAKKA JN ,201
12509,28,MLDT,MALDA TOWN ,186
12509,29,BOE,BARSOI JN ,225
12509,30,KNE,KISHANGANJ ,244
12509,31,NJP,NEW JALPAIGURI ,230
12509,32,JPE,JALPAIGURI ROAD ,233
12509,33,DQG,DHUPGURI ,240
12509,34,NCB,NEW COOCH BEHAR ,247
12509,35,NOQ,NEW ALIPURDAUR ,250
12509,36,KOJ,KOKRAJHAR ,270
12509,37,NBQ,NEW BONGAIGAON ,255
12509,38,BPRD,BARPETA ROAD ,295
12509,39,RNY,RANGIYA JN ,329
12509,40,KYQ,KAMAKHYA ,326
12509,41,GHY,GUWAHATI ,311
15945,1,LTT,LOKMANYATILAK T ,11
15945,2,KYN,KALYAN JN ,26
15945,3,NK,NASIK ROAD ,18
15945,4,MMR,MANMAD JN ,20
15945,5,BSL,BHUSAVAL JN ,24
15945,6,BAU,BURHANPUR ,25
15945,7,KNW,KHANDWA ,17
15945,8,HD,HARDA ,25
